-0.500,0.500
-1.000,1.038
-1.225,1.281
-1.475,1.550
-1.725,1.819
-1.725,2.167
-1.475,2.450
-1.225,2.733
-1.165,2.801
-0.945,3.050
-0.725,3.299
-0.725,3.722
-0.945,3.950
-1.045,4.054
-1.225,4.241
-1.475,4.500
-1.725,4.759
-1.600,5.400
-1.400,5.800
-1.200,6.200
-1.150,7.850
-1.300,8.200
-1.450,8.550
-1.800,8.550
-2.300,8.450
-2.800,8.350
-3.300,8.275
-4.000,8.275
-4.400,8.275
-4.700,8.275
-5.375,8.275
-5.600,8.275
-5.800,8.275
-6.025,8.275
-5.800,8.310
-5.600,8.400
-5.400,8.550
-5.200,8.700
-5.100,8.800
-5.000,9.000
-4.300,8.900
-3.700,8.750
-3.700,8.350
-3.700,7.950
-3.700,5.475
-3.700,4.475;
